Function,Argument,Utterance
matplotlib.collections.PatchCollection.have_units,x,Return True if units are set on the x or y axes
matplotlib.collections.PatchCollection.have_units,y,Return True if units are set on the x or y axes
matplotlib.collections.PatchCollection.hitlist,event,List the children of the artist which contain the mouse event event .
matplotlib.collections.PatchCollection.pick,mouseevent,each child artist will fire a pick event if mouseevent is over the artist and the artist has picker set
matplotlib.collections.PatchCollection.remove,autolim,Note : relim ( ) will not see collections even if the collection was added to axes with autolim = True .
matplotlib.collections.PatchCollection.remove_callback,id,Remove a callback based on its id .
matplotlib.collections.PatchCollection.set_alpha,alpha,Set the alpha tranparencies of the collection . alpha must be a float or None .|||Set the alpha tranparencies of the collection .
matplotlib.collections.PatchCollection.set_array,A,Set the image array from numpy array A
matplotlib.collections.PatchCollection.set_clim,vmin,"set the norm limits for image scaling ; if vmin is a length2 sequence , interpret it as ( vmin , vmax ) which is used to support setp"
matplotlib.collections.PatchCollection.set_contains,hit,"If the mouse event is over the artist , return hit = True and props is a dictionary of properties you want returned with the contains test .|||If the mouse event is over the artist , return hit = True"
matplotlib.collections.PatchCollection.set_contains,props,"If the mouse event is over the artist , return hit = True and props is a dictionary of properties you want returned with the contains test .|||If the mouse event is over the artist , return hit = True"
matplotlib.collections.PatchCollection.set_edgecolor,c,"Set the edgecolor(s ) of the collection . c can be a matplotlib color spec ( all patches have same color ) , or a sequence of specs ; if it is a sequence the patches will cycle through the sequence .|||Set the edgecolor(s ) of the collection .|||If c is ' face ' , the edge color will always be the same as the face color .|||If c is ' face ' , the edge color will always be the same as the face color . If it is ' none ' , the patch boundary will not be drawn ."
matplotlib.collections.PatchCollection.set_facecolor,c,"Set the facecolor(s ) of the collection . c can be a matplotlib color spec ( all patches have same color ) , or a sequence of specs ; if it is a sequence the patches will cycle through the sequence .|||If c is ' none ' , the patch will not be filled .|||Set the facecolor(s ) of the collection ."
matplotlib.collections.PatchCollection.set_hatch,hatch,hatch can be one of :
matplotlib.collections.PatchCollection.set_label,s,Set the label to s for auto legend .
matplotlib.collections.PatchCollection.set_linestyle,ls,The line style .
matplotlib.collections.PatchCollection.set_linewidth,lw,Set the linewidth(s ) for the collection .|||Set the linewidth(s ) for the collection . lw can be a scalar or a sequence ; if it is a sequence the patches will cycle through the sequence
matplotlib.collections.PatchCollection.set_offset_position,offset_position,"Set how offsets are applied . If offset_position is ' screen ' ( default ) the offset is applied after the master transform has been applied , that is , the offsets are in screen coordinates . If offset_position is ' data ' , the offset is applied before the master transform , i.e. , the offsets are in data coordinates .|||Set how offsets are applied ."
matplotlib.collections.PatchCollection.set_offsets,offsets,Set the offsets for the collection . offsets can be a scalar or a sequence .|||Set the offsets for the collection .
matplotlib.collections.PatchCollection.set_picker,picker,picker can be one of the following :
matplotlib.collections.PatchCollection.set_sketch_params,length,"The length of the wiggle along the line , in pixels ( default 128.0 )"
matplotlib.collections.PatchCollection.set_sketch_params,randomness,The scale factor by which the length is shrunken or expanded ( default 16.0 )
matplotlib.collections.PatchCollection.set_sketch_params,scale,"The amplitude of the wiggle perpendicular to the source line , in pixels . If scale is None , or not provided , no sketch filter will be provided .|||The amplitude of the wiggle perpendicular to the source line , in pixels ."
matplotlib.collections.PatchCollection.to_rgba,alpha,"There is one special case , for handling images that are already rgb or rgba , such as might have been read from an image file . If x is an ndarray with 3 dimensions , and the last dimension is either 3 or 4 , then it will be treated as an rgb or rgba array , and no mapping will be done . If the last dimension is 3 , the alpha kwarg ( defaulting to 1 ) will be used to fill in the transparency . If the last dimension is 4 , the alpha kwarg is ignored ; it does not replace the pre-existing alpha . A ValueError will be raised if the third dimension is other than 3 or 4 .|||There is one special case , for handling images that are already rgb or rgba , such as might have been read from an image file ."
matplotlib.collections.PatchCollection.to_rgba,bytes,"In either case , if bytes is False ( default ) , the rgba array will be floats in the 0-1 range ; if it is True , the returned rgba array will be uint8 in the 0 to 255 range ."
matplotlib.collections.PatchCollection.to_rgba,x,"There is one special case , for handling images that are already rgb or rgba , such as might have been read from an image file .|||Return a normalized rgba array corresponding to x .|||In the normal case , x is a 1-D or 2-D sequence of scalars , and the corresponding ndarray of rgba values will be returned , based on the norm and colormap set for this ScalarMappable .|||Note : this method assumes the input is well-behaved ; it does not check for anomalies such as x being a masked rgba array , or being an integer type other than uint8 , or being a floating point rgba array with values outside the 0-1 range .|||There is one special case , for handling images that are already rgb or rgba , such as might have been read from an image file . If x is an ndarray with 3 dimensions , and the last dimension is either 3 or 4 , then it will be treated as an rgb or rgba array , and no mapping will be done . If the last dimension is 3 , the alpha kwarg ( defaulting to 1 ) will be used to fill in the transparency . If the last dimension is 4 , the alpha kwarg is ignored ; it does not replace the pre-existing alpha . A ValueError will be raised if the third dimension is other than 3 or 4 ."
matplotlib.collections.PatchCollection.update,prop,Update the properties of this Artist from the dictionary prop .
matplotlib.collections.PathCollection.add_callback,id,Returns an id that is useful for removing the callback with remove_callback ( ) later .
matplotlib.collections.PathCollection.convert_xunits,x,"For artists in an axes , if the xaxis has units support , convert x using xaxis unit type"
matplotlib.collections.PathCollection.convert_yunits,y,"For artists in an axes , if the yaxis has units support , convert y using yaxis unit type"
matplotlib.collections.PathCollection.findobj,include_self,"If include_self is True ( default ) , include self in the list to be checked for a match ."
matplotlib.collections.PathCollection.findobj,match,match can be
matplotlib.collections.PathCollection.format_cursor_data,cursor data,Return cursor data string formatted .
matplotlib.collections.PathCollection.get_offset_position,offset_position,"Returns how offsets are applied for the collection .|||Returns how offsets are applied for the collection . If offset_position is ' screen ' , the offset is applied after the master transform has been applied , that is , the offsets are in screen coordinates . If offset_position is ' data ' , the offset is applied before the master transform , i.e. , the offsets are in data coordinates ."
matplotlib.collections.PathCollection.have_units,x,Return True if units are set on the x or y axes
matplotlib.collections.PathCollection.have_units,y,Return True if units are set on the x or y axes
matplotlib.collections.PathCollection.hitlist,event,List the children of the artist which contain the mouse event event .
matplotlib.collections.PathCollection.pick,mouseevent,each child artist will fire a pick event if mouseevent is over the artist and the artist has picker set
matplotlib.collections.PathCollection.remove,autolim,Note : relim ( ) will not see collections even if the collection was added to axes with autolim = True .
matplotlib.collections.PathCollection.remove_callback,id,Remove a callback based on its id .
matplotlib.collections.PathCollection.set_alpha,alpha,Set the alpha tranparencies of the collection . alpha must be a float or None .|||Set the alpha tranparencies of the collection .
matplotlib.collections.PathCollection.set_array,A,Set the image array from numpy array A
matplotlib.collections.PathCollection.set_clim,vmin,"set the norm limits for image scaling ; if vmin is a length2 sequence , interpret it as ( vmin , vmax ) which is used to support setp"
matplotlib.collections.PathCollection.set_contains,hit,"If the mouse event is over the artist , return hit = True and props is a dictionary of properties you want returned with the contains test .|||If the mouse event is over the artist , return hit = True"
matplotlib.collections.PathCollection.set_contains,props,"If the mouse event is over the artist , return hit = True and props is a dictionary of properties you want returned with the contains test .|||If the mouse event is over the artist , return hit = True"
matplotlib.collections.PathCollection.set_edgecolor,c,"Set the edgecolor(s ) of the collection . c can be a matplotlib color spec ( all patches have same color ) , or a sequence of specs ; if it is a sequence the patches will cycle through the sequence .|||Set the edgecolor(s ) of the collection .|||If c is ' face ' , the edge color will always be the same as the face color .|||If c is ' face ' , the edge color will always be the same as the face color . If it is ' none ' , the patch boundary will not be drawn ."
matplotlib.collections.PathCollection.set_facecolor,c,"Set the facecolor(s ) of the collection . c can be a matplotlib color spec ( all patches have same color ) , or a sequence of specs ; if it is a sequence the patches will cycle through the sequence .|||If c is ' none ' , the patch will not be filled .|||Set the facecolor(s ) of the collection ."
matplotlib.collections.PathCollection.set_hatch,hatch,hatch can be one of :
matplotlib.collections.PathCollection.set_label,s,Set the label to s for auto legend .
matplotlib.collections.PathCollection.set_linestyle,ls,The line style .
matplotlib.collections.PathCollection.set_linewidth,lw,Set the linewidth(s ) for the collection .|||Set the linewidth(s ) for the collection . lw can be a scalar or a sequence ; if it is a sequence the patches will cycle through the sequence
matplotlib.collections.PathCollection.set_offset_position,offset_position,"Set how offsets are applied . If offset_position is ' screen ' ( default ) the offset is applied after the master transform has been applied , that is , the offsets are in screen coordinates . If offset_position is ' data ' , the offset is applied before the master transform , i.e. , the offsets are in data coordinates .|||Set how offsets are applied ."
matplotlib.collections.PathCollection.set_offsets,offsets,Set the offsets for the collection . offsets can be a scalar or a sequence .|||Set the offsets for the collection .
matplotlib.collections.PathCollection.set_picker,picker,picker can be one of the following :
matplotlib.collections.PathCollection.set_sizes,dpi,The dpi of the canvas . Defaults to 72.0 .|||The dpi of the canvas .
matplotlib.collections.PathCollection.set_sizes,sizes,The size to set for each element of the collection . The value is the ' area ' of the element .|||The size to set for each element of the collection .
matplotlib.collections.PathCollection.set_sketch_params,length,"The length of the wiggle along the line , in pixels ( default 128.0 )"
matplotlib.collections.PathCollection.set_sketch_params,randomness,The scale factor by which the length is shrunken or expanded ( default 16.0 )
matplotlib.collections.PathCollection.set_sketch_params,scale,"The amplitude of the wiggle perpendicular to the source line , in pixels . If scale is None , or not provided , no sketch filter will be provided .|||The amplitude of the wiggle perpendicular to the source line , in pixels ."
matplotlib.collections.PathCollection.to_rgba,alpha,"There is one special case , for handling images that are already rgb or rgba , such as might have been read from an image file . If x is an ndarray with 3 dimensions , and the last dimension is either 3 or 4 , then it will be treated as an rgb or rgba array , and no mapping will be done . If the last dimension is 3 , the alpha kwarg ( defaulting to 1 ) will be used to fill in the transparency . If the last dimension is 4 , the alpha kwarg is ignored ; it does not replace the pre-existing alpha . A ValueError will be raised if the third dimension is other than 3 or 4 .|||There is one special case , for handling images that are already rgb or rgba , such as might have been read from an image file ."
matplotlib.collections.PathCollection.to_rgba,bytes,"In either case , if bytes is False ( default ) , the rgba array will be floats in the 0-1 range ; if it is True , the returned rgba array will be uint8 in the 0 to 255 range ."
matplotlib.collections.PathCollection.to_rgba,x,"There is one special case , for handling images that are already rgb or rgba , such as might have been read from an image file .|||Return a normalized rgba array corresponding to x .|||In the normal case , x is a 1-D or 2-D sequence of scalars , and the corresponding ndarray of rgba values will be returned , based on the norm and colormap set for this ScalarMappable .|||Note : this method assumes the input is well-behaved ; it does not check for anomalies such as x being a masked rgba array , or being an integer type other than uint8 , or being a floating point rgba array with values outside the 0-1 range .|||There is one special case , for handling images that are already rgb or rgba , such as might have been read from an image file . If x is an ndarray with 3 dimensions , and the last dimension is either 3 or 4 , then it will be treated as an rgb or rgba array , and no mapping will be done . If the last dimension is 3 , the alpha kwarg ( defaulting to 1 ) will be used to fill in the transparency . If the last dimension is 4 , the alpha kwarg is ignored ; it does not replace the pre-existing alpha . A ValueError will be raised if the third dimension is other than 3 or 4 ."
matplotlib.collections.PathCollection.update,prop,Update the properties of this Artist from the dictionary prop .
matplotlib.collections.PolyCollection.add_callback,id,Returns an id that is useful for removing the callback with remove_callback ( ) later .
matplotlib.collections.PolyCollection.convert_xunits,x,"For artists in an axes , if the xaxis has units support , convert x using xaxis unit type"
matplotlib.collections.PolyCollection.convert_yunits,y,"For artists in an axes , if the yaxis has units support , convert y using yaxis unit type"
matplotlib.collections.PolyCollection.findobj,include_self,"If include_self is True ( default ) , include self in the list to be checked for a match ."
matplotlib.collections.PolyCollection.findobj,match,match can be
matplotlib.collections.PolyCollection.format_cursor_data,cursor data,Return cursor data string formatted .
matplotlib.collections.PolyCollection.get_offset_position,offset_position,"Returns how offsets are applied for the collection .|||Returns how offsets are applied for the collection . If offset_position is ' screen ' , the offset is applied after the master transform has been applied , that is , the offsets are in screen coordinates . If offset_position is ' data ' , the offset is applied before the master transform , i.e. , the offsets are in data coordinates ."
matplotlib.collections.PolyCollection.have_units,x,Return True if units are set on the x or y axes
matplotlib.collections.PolyCollection.have_units,y,Return True if units are set on the x or y axes
matplotlib.collections.PolyCollection.hitlist,event,List the children of the artist which contain the mouse event event .
matplotlib.collections.PolyCollection.pick,mouseevent,each child artist will fire a pick event if mouseevent is over the artist and the artist has picker set
matplotlib.collections.PolyCollection.remove,autolim,Note : relim ( ) will not see collections even if the collection was added to axes with autolim = True .
matplotlib.collections.PolyCollection.remove_callback,id,Remove a callback based on its id .
matplotlib.collections.PolyCollection.set_alpha,alpha,Set the alpha tranparencies of the collection . alpha must be a float or None .|||Set the alpha tranparencies of the collection .
matplotlib.collections.PolyCollection.set_array,A,Set the image array from numpy array A
matplotlib.collections.PolyCollection.set_clim,vmin,"set the norm limits for image scaling ; if vmin is a length2 sequence , interpret it as ( vmin , vmax ) which is used to support setp"
matplotlib.collections.PolyCollection.set_contains,hit,"If the mouse event is over the artist , return hit = True and props is a dictionary of properties you want returned with the contains test .|||If the mouse event is over the artist , return hit = True"
matplotlib.collections.PolyCollection.set_contains,props,"If the mouse event is over the artist , return hit = True and props is a dictionary of properties you want returned with the contains test .|||If the mouse event is over the artist , return hit = True"
matplotlib.collections.PolyCollection.set_edgecolor,c,"Set the edgecolor(s ) of the collection . c can be a matplotlib color spec ( all patches have same color ) , or a sequence of specs ; if it is a sequence the patches will cycle through the sequence .|||Set the edgecolor(s ) of the collection .|||If c is ' face ' , the edge color will always be the same as the face color .|||If c is ' face ' , the edge color will always be the same as the face color . If it is ' none ' , the patch boundary will not be drawn ."
matplotlib.collections.PolyCollection.set_facecolor,c,"Set the facecolor(s ) of the collection . c can be a matplotlib color spec ( all patches have same color ) , or a sequence of specs ; if it is a sequence the patches will cycle through the sequence .|||If c is ' none ' , the patch will not be filled .|||Set the facecolor(s ) of the collection ."
matplotlib.collections.PolyCollection.set_hatch,hatch,hatch can be one of :
matplotlib.collections.PolyCollection.set_label,s,Set the label to s for auto legend .
matplotlib.collections.PolyCollection.set_linestyle,ls,The line style .
matplotlib.collections.PolyCollection.set_linewidth,lw,Set the linewidth(s ) for the collection .|||Set the linewidth(s ) for the collection . lw can be a scalar or a sequence ; if it is a sequence the patches will cycle through the sequence
matplotlib.collections.PolyCollection.set_offset_position,offset_position,"Set how offsets are applied . If offset_position is ' screen ' ( default ) the offset is applied after the master transform has been applied , that is , the offsets are in screen coordinates . If offset_position is ' data ' , the offset is applied before the master transform , i.e. , the offsets are in data coordinates .|||Set how offsets are applied ."
matplotlib.collections.PolyCollection.set_offsets,offsets,Set the offsets for the collection . offsets can be a scalar or a sequence .|||Set the offsets for the collection .
matplotlib.collections.PolyCollection.set_picker,picker,picker can be one of the following :
matplotlib.collections.PolyCollection.set_sizes,dpi,The dpi of the canvas . Defaults to 72.0 .|||The dpi of the canvas .
matplotlib.collections.PolyCollection.set_sizes,sizes,The size to set for each element of the collection . The value is the ' area ' of the element .|||The size to set for each element of the collection .
matplotlib.collections.PolyCollection.set_sketch_params,length,"The length of the wiggle along the line , in pixels ( default 128.0 )"
matplotlib.collections.PolyCollection.set_sketch_params,randomness,The scale factor by which the length is shrunken or expanded ( default 16.0 )
matplotlib.collections.PolyCollection.set_sketch_params,scale,"The amplitude of the wiggle perpendicular to the source line , in pixels . If scale is None , or not provided , no sketch filter will be provided .|||The amplitude of the wiggle perpendicular to the source line , in pixels ."
matplotlib.collections.PolyCollection.to_rgba,alpha,"There is one special case , for handling images that are already rgb or rgba , such as might have been read from an image file . If x is an ndarray with 3 dimensions , and the last dimension is either 3 or 4 , then it will be treated as an rgb or rgba array , and no mapping will be done . If the last dimension is 3 , the alpha kwarg ( defaulting to 1 ) will be used to fill in the transparency . If the last dimension is 4 , the alpha kwarg is ignored ; it does not replace the pre-existing alpha . A ValueError will be raised if the third dimension is other than 3 or 4 .|||There is one special case , for handling images that are already rgb or rgba , such as might have been read from an image file ."
matplotlib.collections.PolyCollection.to_rgba,bytes,"In either case , if bytes is False ( default ) , the rgba array will be floats in the 0-1 range ; if it is True , the returned rgba array will be uint8 in the 0 to 255 range ."
matplotlib.collections.PolyCollection.to_rgba,x,"There is one special case , for handling images that are already rgb or rgba , such as might have been read from an image file .|||Return a normalized rgba array corresponding to x .|||In the normal case , x is a 1-D or 2-D sequence of scalars , and the corresponding ndarray of rgba values will be returned , based on the norm and colormap set for this ScalarMappable .|||Note : this method assumes the input is well-behaved ; it does not check for anomalies such as x being a masked rgba array , or being an integer type other than uint8 , or being a floating point rgba array with values outside the 0-1 range .|||There is one special case , for handling images that are already rgb or rgba , such as might have been read from an image file . If x is an ndarray with 3 dimensions , and the last dimension is either 3 or 4 , then it will be treated as an rgb or rgba array , and no mapping will be done . If the last dimension is 3 , the alpha kwarg ( defaulting to 1 ) will be used to fill in the transparency . If the last dimension is 4 , the alpha kwarg is ignored ; it does not replace the pre-existing alpha . A ValueError will be raised if the third dimension is other than 3 or 4 ."
matplotlib.collections.PolyCollection.update,prop,Update the properties of this Artist from the dictionary prop .
matplotlib.collections.QuadMesh.add_callback,id,Returns an id that is useful for removing the callback with remove_callback ( ) later .
matplotlib.collections.QuadMesh.convert_xunits,x,"For artists in an axes , if the xaxis has units support , convert x using xaxis unit type"
matplotlib.collections.QuadMesh.convert_yunits,y,"For artists in an axes , if the yaxis has units support , convert y using yaxis unit type"
matplotlib.collections.QuadMesh.findobj,include_self,"If include_self is True ( default ) , include self in the list to be checked for a match ."
matplotlib.collections.QuadMesh.findobj,match,match can be
matplotlib.collections.QuadMesh.format_cursor_data,cursor data,Return cursor data string formatted .
matplotlib.collections.QuadMesh.get_offset_position,offset_position,"Returns how offsets are applied for the collection .|||Returns how offsets are applied for the collection . If offset_position is ' screen ' , the offset is applied after the master transform has been applied , that is , the offsets are in screen coordinates . If offset_position is ' data ' , the offset is applied before the master transform , i.e. , the offsets are in data coordinates ."
matplotlib.collections.QuadMesh.have_units,x,Return True if units are set on the x or y axes
matplotlib.collections.QuadMesh.have_units,y,Return True if units are set on the x or y axes
matplotlib.collections.QuadMesh.hitlist,event,List the children of the artist which contain the mouse event event .
matplotlib.collections.QuadMesh.pick,mouseevent,each child artist will fire a pick event if mouseevent is over the artist and the artist has picker set
matplotlib.collections.QuadMesh.remove,autolim,Note : relim ( ) will not see collections even if the collection was added to axes with autolim = True .
matplotlib.collections.QuadMesh.remove_callback,id,Remove a callback based on its id .
matplotlib.collections.QuadMesh.set_alpha,alpha,Set the alpha tranparencies of the collection . alpha must be a float or None .|||Set the alpha tranparencies of the collection .
matplotlib.collections.QuadMesh.set_array,A,Set the image array from numpy array A
matplotlib.collections.QuadMesh.set_clim,vmin,"set the norm limits for image scaling ; if vmin is a length2 sequence , interpret it as ( vmin , vmax ) which is used to support setp"
matplotlib.collections.QuadMesh.set_contains,hit,"If the mouse event is over the artist , return hit = True and props is a dictionary of properties you want returned with the contains test .|||If the mouse event is over the artist , return hit = True"
matplotlib.collections.QuadMesh.set_contains,props,"If the mouse event is over the artist , return hit = True and props is a dictionary of properties you want returned with the contains test .|||If the mouse event is over the artist , return hit = True"
matplotlib.collections.QuadMesh.set_edgecolor,c,"Set the edgecolor(s ) of the collection . c can be a matplotlib color spec ( all patches have same color ) , or a sequence of specs ; if it is a sequence the patches will cycle through the sequence .|||Set the edgecolor(s ) of the collection .|||If c is ' face ' , the edge color will always be the same as the face color .|||If c is ' face ' , the edge color will always be the same as the face color . If it is ' none ' , the patch boundary will not be drawn ."
matplotlib.collections.QuadMesh.set_facecolor,c,"Set the facecolor(s ) of the collection . c can be a matplotlib color spec ( all patches have same color ) , or a sequence of specs ; if it is a sequence the patches will cycle through the sequence .|||If c is ' none ' , the patch will not be filled .|||Set the facecolor(s ) of the collection ."
matplotlib.collections.QuadMesh.set_hatch,hatch,hatch can be one of :
matplotlib.collections.QuadMesh.set_label,s,Set the label to s for auto legend .
matplotlib.collections.QuadMesh.set_linestyle,ls,The line style .
matplotlib.collections.QuadMesh.set_linewidth,lw,Set the linewidth(s ) for the collection .|||Set the linewidth(s ) for the collection . lw can be a scalar or a sequence ; if it is a sequence the patches will cycle through the sequence
matplotlib.collections.QuadMesh.set_offset_position,offset_position,"Set how offsets are applied . If offset_position is ' screen ' ( default ) the offset is applied after the master transform has been applied , that is , the offsets are in screen coordinates . If offset_position is ' data ' , the offset is applied before the master transform , i.e. , the offsets are in data coordinates .|||Set how offsets are applied ."
matplotlib.collections.QuadMesh.set_offsets,offsets,Set the offsets for the collection . offsets can be a scalar or a sequence .|||Set the offsets for the collection .
matplotlib.collections.QuadMesh.set_picker,picker,picker can be one of the following :
matplotlib.collections.QuadMesh.set_sketch_params,length,"The length of the wiggle along the line , in pixels ( default 128.0 )"
matplotlib.collections.QuadMesh.set_sketch_params,randomness,The scale factor by which the length is shrunken or expanded ( default 16.0 )
matplotlib.collections.QuadMesh.set_sketch_params,scale,"The amplitude of the wiggle perpendicular to the source line , in pixels . If scale is None , or not provided , no sketch filter will be provided .|||The amplitude of the wiggle perpendicular to the source line , in pixels ."
matplotlib.collections.QuadMesh.to_rgba,alpha,"There is one special case , for handling images that are already rgb or rgba , such as might have been read from an image file . If x is an ndarray with 3 dimensions , and the last dimension is either 3 or 4 , then it will be treated as an rgb or rgba array , and no mapping will be done . If the last dimension is 3 , the alpha kwarg ( defaulting to 1 ) will be used to fill in the transparency . If the last dimension is 4 , the alpha kwarg is ignored ; it does not replace the pre-existing alpha . A ValueError will be raised if the third dimension is other than 3 or 4 .|||There is one special case , for handling images that are already rgb or rgba , such as might have been read from an image file ."
matplotlib.collections.QuadMesh.to_rgba,bytes,"In either case , if bytes is False ( default ) , the rgba array will be floats in the 0-1 range ; if it is True , the returned rgba array will be uint8 in the 0 to 255 range ."
matplotlib.collections.QuadMesh.to_rgba,x,"There is one special case , for handling images that are already rgb or rgba , such as might have been read from an image file .|||Return a normalized rgba array corresponding to x .|||In the normal case , x is a 1-D or 2-D sequence of scalars , and the corresponding ndarray of rgba values will be returned , based on the norm and colormap set for this ScalarMappable .|||Note : this method assumes the input is well-behaved ; it does not check for anomalies such as x being a masked rgba array , or being an integer type other than uint8 , or being a floating point rgba array with values outside the 0-1 range .|||There is one special case , for handling images that are already rgb or rgba , such as might have been read from an image file . If x is an ndarray with 3 dimensions , and the last dimension is either 3 or 4 , then it will be treated as an rgb or rgba array , and no mapping will be done . If the last dimension is 3 , the alpha kwarg ( defaulting to 1 ) will be used to fill in the transparency . If the last dimension is 4 , the alpha kwarg is ignored ; it does not replace the pre-existing alpha . A ValueError will be raised if the third dimension is other than 3 or 4 ."
matplotlib.collections.QuadMesh.update,prop,Update the properties of this Artist from the dictionary prop .
matplotlib.collections.RegularPolyCollection.add_callback,id,Returns an id that is useful for removing the callback with remove_callback ( ) later .
matplotlib.collections.RegularPolyCollection.convert_xunits,x,"For artists in an axes , if the xaxis has units support , convert x using xaxis unit type"
matplotlib.collections.RegularPolyCollection.convert_yunits,y,"For artists in an axes , if the yaxis has units support , convert y using yaxis unit type"
matplotlib.collections.RegularPolyCollection.findobj,include_self,"If include_self is True ( default ) , include self in the list to be checked for a match ."
matplotlib.collections.RegularPolyCollection.findobj,match,match can be
matplotlib.collections.RegularPolyCollection.format_cursor_data,cursor data,Return cursor data string formatted .
matplotlib.collections.RegularPolyCollection.get_offset_position,offset_position,"Returns how offsets are applied for the collection .|||Returns how offsets are applied for the collection . If offset_position is ' screen ' , the offset is applied after the master transform has been applied , that is , the offsets are in screen coordinates . If offset_position is ' data ' , the offset is applied before the master transform , i.e. , the offsets are in data coordinates ."
matplotlib.collections.RegularPolyCollection.have_units,x,Return True if units are set on the x or y axes
matplotlib.collections.RegularPolyCollection.have_units,y,Return True if units are set on the x or y axes
matplotlib.collections.RegularPolyCollection.hitlist,event,List the children of the artist which contain the mouse event event .
matplotlib.collections.RegularPolyCollection.pick,mouseevent,each child artist will fire a pick event if mouseevent is over the artist and the artist has picker set
matplotlib.collections.RegularPolyCollection.remove,autolim,Note : relim ( ) will not see collections even if the collection was added to axes with autolim = True .
matplotlib.collections.RegularPolyCollection.remove_callback,id,Remove a callback based on its id .
matplotlib.collections.RegularPolyCollection.set_alpha,alpha,Set the alpha tranparencies of the collection . alpha must be a float or None .|||Set the alpha tranparencies of the collection .
matplotlib.collections.RegularPolyCollection.set_array,A,Set the image array from numpy array A
matplotlib.collections.RegularPolyCollection.set_clim,vmin,"set the norm limits for image scaling ; if vmin is a length2 sequence , interpret it as ( vmin , vmax ) which is used to support setp"
matplotlib.collections.RegularPolyCollection.set_contains,hit,"If the mouse event is over the artist , return hit = True and props is a dictionary of properties you want returned with the contains test .|||If the mouse event is over the artist , return hit = True"
matplotlib.collections.RegularPolyCollection.set_contains,props,"If the mouse event is over the artist , return hit = True and props is a dictionary of properties you want returned with the contains test .|||If the mouse event is over the artist , return hit = True"
matplotlib.collections.RegularPolyCollection.set_edgecolor,c,"Set the edgecolor(s ) of the collection . c can be a matplotlib color spec ( all patches have same color ) , or a sequence of specs ; if it is a sequence the patches will cycle through the sequence .|||Set the edgecolor(s ) of the collection .|||If c is ' face ' , the edge color will always be the same as the face color .|||If c is ' face ' , the edge color will always be the same as the face color . If it is ' none ' , the patch boundary will not be drawn ."
matplotlib.collections.RegularPolyCollection.set_facecolor,c,"Set the facecolor(s ) of the collection . c can be a matplotlib color spec ( all patches have same color ) , or a sequence of specs ; if it is a sequence the patches will cycle through the sequence .|||If c is ' none ' , the patch will not be filled .|||Set the facecolor(s ) of the collection ."
matplotlib.collections.RegularPolyCollection.set_hatch,hatch,hatch can be one of :
matplotlib.collections.RegularPolyCollection.set_label,s,Set the label to s for auto legend .
matplotlib.collections.RegularPolyCollection.set_linestyle,ls,The line style .
matplotlib.collections.RegularPolyCollection.set_linewidth,lw,Set the linewidth(s ) for the collection .|||Set the linewidth(s ) for the collection . lw can be a scalar or a sequence ; if it is a sequence the patches will cycle through the sequence
matplotlib.collections.RegularPolyCollection.set_offset_position,offset_position,"Set how offsets are applied . If offset_position is ' screen ' ( default ) the offset is applied after the master transform has been applied , that is , the offsets are in screen coordinates . If offset_position is ' data ' , the offset is applied before the master transform , i.e. , the offsets are in data coordinates .|||Set how offsets are applied ."
matplotlib.collections.RegularPolyCollection.set_offsets,offsets,Set the offsets for the collection . offsets can be a scalar or a sequence .|||Set the offsets for the collection .
matplotlib.collections.RegularPolyCollection.set_picker,picker,picker can be one of the following :
matplotlib.collections.RegularPolyCollection.set_sizes,dpi,The dpi of the canvas . Defaults to 72.0 .|||The dpi of the canvas .
matplotlib.collections.RegularPolyCollection.set_sizes,sizes,The size to set for each element of the collection . The value is the ' area ' of the element .|||The size to set for each element of the collection .
matplotlib.collections.RegularPolyCollection.set_sketch_params,length,"The length of the wiggle along the line , in pixels ( default 128.0 )"
matplotlib.collections.RegularPolyCollection.set_sketch_params,randomness,The scale factor by which the length is shrunken or expanded ( default 16.0 )
matplotlib.collections.RegularPolyCollection.set_sketch_params,scale,"The amplitude of the wiggle perpendicular to the source line , in pixels . If scale is None , or not provided , no sketch filter will be provided .|||The amplitude of the wiggle perpendicular to the source line , in pixels ."
matplotlib.collections.RegularPolyCollection.to_rgba,alpha,"There is one special case , for handling images that are already rgb or rgba , such as might have been read from an image file . If x is an ndarray with 3 dimensions , and the last dimension is either 3 or 4 , then it will be treated as an rgb or rgba array , and no mapping will be done . If the last dimension is 3 , the alpha kwarg ( defaulting to 1 ) will be used to fill in the transparency . If the last dimension is 4 , the alpha kwarg is ignored ; it does not replace the pre-existing alpha . A ValueError will be raised if the third dimension is other than 3 or 4 .|||There is one special case , for handling images that are already rgb or rgba , such as might have been read from an image file ."
matplotlib.collections.RegularPolyCollection.to_rgba,bytes,"In either case , if bytes is False ( default ) , the rgba array will be floats in the 0-1 range ; if it is True , the returned rgba array will be uint8 in the 0 to 255 range ."
