Function,Utterance
matplotlib.collections.PatchCollection.to_rgba,Return a normalized rgba array corresponding to x .
matplotlib.collections.PatchCollection.update,Update the properties of this Artist from the dictionary prop .
matplotlib.collections.PatchCollection.update_from,copy properties from other to self
matplotlib.collections.PatchCollection.update_scalarmappable,"If the scalar mappable array is not none , update colors from scalar data"
matplotlib.collections.PathCollection.add_callback,Adds a callback function that will be called whenever one of the Artist 's properties changes .
matplotlib.collections.PathCollection.add_checker,Add an entry to a dictionary of boolean flags that are set to True when the mappable is changed .
matplotlib.collections.PathCollection.autoscale,Autoscale the scalar limits on the norm instance using the current array
matplotlib.collections.PathCollection.autoscale_None,"Autoscale the scalar limits on the norm instance using the current array , changing only limits that are None"
matplotlib.collections.PathCollection.changed,Call this whenever the mappable is changed to notify all the callbackSM listeners to the ' changed ' signal
matplotlib.collections.PathCollection.check_update,"If mappable has changed since the last check , return True ; else return False"
matplotlib.collections.PathCollection.contains,Test whether the mouse event occurred in the collection .
matplotlib.collections.PathCollection.convert_xunits,"For artists in an axes , if the xaxis has units support , convert x using xaxis unit type"
matplotlib.collections.PathCollection.convert_yunits,"For artists in an axes , if the yaxis has units support , convert y using yaxis unit type"
matplotlib.collections.PathCollection.findobj,Find artist objects .
matplotlib.collections.PathCollection.format_cursor_data,Return cursor data string formatted .
matplotlib.collections.PathCollection.get_agg_filter,return filter function to be used for agg filter
matplotlib.collections.PathCollection.get_alpha,Return the alpha value used for blending - not supported on all backends
matplotlib.collections.PathCollection.get_animated,Return the artist 's animated state
matplotlib.collections.PathCollection.get_array,Return the array
matplotlib.collections.PathCollection.get_axes,"Return the Axes instance the artist resides in , or None ."
matplotlib.collections.PathCollection.get_children,Return a list of the child Artist`s this
matplotlib.collections.PathCollection.get_clim,"return the min , max of the color limits for image scaling"
matplotlib.collections.PathCollection.get_clip_box,Return artist clipbox
matplotlib.collections.PathCollection.get_clip_on,Return whether artist uses clipping
matplotlib.collections.PathCollection.get_clip_path,Return artist clip path
matplotlib.collections.PathCollection.get_cmap,return the colormap
matplotlib.collections.PathCollection.get_contains,"Return the _ contains test used by the artist , or None for default ."
matplotlib.collections.PathCollection.get_cursor_data,Get the cursor data for a given event .
matplotlib.collections.PathCollection.get_figure,Return the Figure instance the artist belongs to .
matplotlib.collections.PathCollection.get_fill,return whether fill is set
matplotlib.collections.PathCollection.get_gid,Returns the group id
matplotlib.collections.PathCollection.get_hatch,Return the current hatching pattern
matplotlib.collections.PathCollection.get_label,Get the label used for this artist in the legend .
matplotlib.collections.PathCollection.get_offset_position,Returns how offsets are applied for the collection .
matplotlib.collections.PathCollection.get_offsets,Return the offsets for the collection .
matplotlib.collections.PathCollection.get_picker,Return the picker object used by this artist
matplotlib.collections.PathCollection.get_rasterized,return True if the artist is to be rasterized
matplotlib.collections.PathCollection.get_sizes,Returns the sizes of the elements in the collection .
matplotlib.collections.PathCollection.get_sketch_params,Returns the sketch parameters for the artist .
matplotlib.collections.PathCollection.get_snap,Returns the snap setting which may be
matplotlib.collections.PathCollection.get_transform,Return the Transform instance used by this artist .
matplotlib.collections.PathCollection.get_transformed_clip_path_and_affine,"Return the clip path with the non-affine part of its transformation applied , and the remaining affine part of its transformation ."
matplotlib.collections.PathCollection.get_url,Returns the url
matplotlib.collections.PathCollection.get_visible,Return the artist 's visiblity
matplotlib.collections.PathCollection.get_zorder,Return the Artist 's zorder .
matplotlib.collections.PathCollection.have_units,Return True if units are set on the x or y axes
matplotlib.collections.PathCollection.hitlist,List the children of the artist which contain the mouse event event .
matplotlib.collections.PathCollection.is_figure_set,Returns True if the artist is assigned to a Figure .
matplotlib.collections.PathCollection.is_transform_set,Returns True if Artist has a transform explicitly set .
matplotlib.collections.PathCollection.pchanged,"Fire an event when property changed , calling all of the registered callbacks ."
matplotlib.collections.PathCollection.pick,each child artist will fire a pick event if mouseevent is over the artist and the artist has picker set
matplotlib.collections.PathCollection.pickable,Return True if Artist is pickable .
matplotlib.collections.PathCollection.properties,return a dictionary mapping property name - > value for all Artist props
matplotlib.collections.PathCollection.remove,Remove the artist from the figure if possible .
matplotlib.collections.PathCollection.remove_callback,Remove a callback based on its id .
matplotlib.collections.PathCollection.set,A property batch setter .
matplotlib.collections.PathCollection.set_agg_filter,set agg_filter fuction .
matplotlib.collections.PathCollection.set_alpha,Set the alpha tranparencies of the collection .
matplotlib.collections.PathCollection.set_animated,Set the artist 's animation state .
matplotlib.collections.PathCollection.set_antialiased,Set the antialiasing state for rendering .
matplotlib.collections.PathCollection.set_antialiaseds,alias for set_antialiased
matplotlib.collections.PathCollection.set_array,Set the image array from numpy array A
matplotlib.collections.PathCollection.set_axes,"Set the Axes instance in which the artist resides , if any ."
matplotlib.collections.PathCollection.set_clim,"set the norm limits for image scaling ; if vmin is a length2 sequence , interpret it as ( vmin , vmax ) which is used to support setp"
matplotlib.collections.PathCollection.set_clip_box,Set the artist 's clip Bbox .
matplotlib.collections.PathCollection.set_clip_on,Set whether artist uses clipping .
matplotlib.collections.PathCollection.set_clip_path,"Set the artist 's clip path , which may be"
matplotlib.collections.PathCollection.set_cmap,set the colormap for luminance data
matplotlib.collections.PathCollection.set_color,Set both the edgecolor and the facecolor .
matplotlib.collections.PathCollection.set_contains,Replace the contains test used by this artist .
matplotlib.collections.PathCollection.set_dashes,alias for set_linestyle
matplotlib.collections.PathCollection.set_edgecolor,Set the edgecolor(s ) of the collection .
matplotlib.collections.PathCollection.set_edgecolors,alias for set_edgecolor
matplotlib.collections.PathCollection.set_facecolor,Set the facecolor(s ) of the collection .
matplotlib.collections.PathCollection.set_facecolors,alias for set_facecolor
matplotlib.collections.PathCollection.set_figure,Set the Figure instance the artist belongs to .
matplotlib.collections.PathCollection.set_gid,Sets the ( group ) id for the artist
matplotlib.collections.PathCollection.set_hatch,Set the hatching pattern
matplotlib.collections.PathCollection.set_label,Set the label to s for auto legend .
matplotlib.collections.PathCollection.set_linestyle,Set the linestyle(s ) for the collection .
matplotlib.collections.PathCollection.set_linestyles,alias for set_linestyle
matplotlib.collections.PathCollection.set_linewidth,Set the linewidth(s ) for the collection .
matplotlib.collections.PathCollection.set_linewidths,alias for set_linewidth
matplotlib.collections.PathCollection.set_lw,alias for set_linewidth
matplotlib.collections.PathCollection.set_norm,set the normalization instance
matplotlib.collections.PathCollection.set_offset_position,Set how offsets are applied .
matplotlib.collections.PathCollection.set_offsets,Set the offsets for the collection .
matplotlib.collections.PathCollection.set_path_effects,"set path_effects , which should be a list of instances of matplotlib.patheffect._Base class or its derivatives ."
matplotlib.collections.PathCollection.set_picker,Set the epsilon for picking used by this artist
matplotlib.collections.PathCollection.set_rasterized,Force rasterized ( bitmap ) drawing in vector backend output .
matplotlib.collections.PathCollection.set_sizes,Set the sizes of each member of the collection .
matplotlib.collections.PathCollection.set_sketch_params,Sets the sketch parameters .
matplotlib.collections.PathCollection.set_snap,Sets the snap setting which may be
matplotlib.collections.PathCollection.set_transform,Set the Transform instance used by this artist .
matplotlib.collections.PathCollection.set_url,Sets the url for the artist
matplotlib.collections.PathCollection.set_visible,Set the artist 's visiblity .
matplotlib.collections.PathCollection.set_zorder,Set the zorder for the artist .
matplotlib.collections.PathCollection.to_rgba,Return a normalized rgba array corresponding to x .
matplotlib.collections.PathCollection.update,Update the properties of this Artist from the dictionary prop .
matplotlib.collections.PathCollection.update_from,copy properties from other to self
matplotlib.collections.PathCollection.update_scalarmappable,"If the scalar mappable array is not none , update colors from scalar data"
matplotlib.collections.PolyCollection.add_callback,Adds a callback function that will be called whenever one of the Artist 's properties changes .
matplotlib.collections.PolyCollection.add_checker,Add an entry to a dictionary of boolean flags that are set to True when the mappable is changed .
matplotlib.collections.PolyCollection.autoscale,Autoscale the scalar limits on the norm instance using the current array
matplotlib.collections.PolyCollection.autoscale_None,"Autoscale the scalar limits on the norm instance using the current array , changing only limits that are None"
matplotlib.collections.PolyCollection.changed,Call this whenever the mappable is changed to notify all the callbackSM listeners to the ' changed ' signal
matplotlib.collections.PolyCollection.check_update,"If mappable has changed since the last check , return True ; else return False"
matplotlib.collections.PolyCollection.contains,Test whether the mouse event occurred in the collection .
matplotlib.collections.PolyCollection.convert_xunits,"For artists in an axes , if the xaxis has units support , convert x using xaxis unit type"
matplotlib.collections.PolyCollection.convert_yunits,"For artists in an axes , if the yaxis has units support , convert y using yaxis unit type"
matplotlib.collections.PolyCollection.findobj,Find artist objects .
matplotlib.collections.PolyCollection.format_cursor_data,Return cursor data string formatted .
matplotlib.collections.PolyCollection.get_agg_filter,return filter function to be used for agg filter
matplotlib.collections.PolyCollection.get_alpha,Return the alpha value used for blending - not supported on all backends
matplotlib.collections.PolyCollection.get_animated,Return the artist 's animated state
matplotlib.collections.PolyCollection.get_array,Return the array
matplotlib.collections.PolyCollection.get_axes,"Return the Axes instance the artist resides in , or None ."
matplotlib.collections.PolyCollection.get_children,Return a list of the child Artist`s this
matplotlib.collections.PolyCollection.get_clim,"return the min , max of the color limits for image scaling"
matplotlib.collections.PolyCollection.get_clip_box,Return artist clipbox
matplotlib.collections.PolyCollection.get_clip_on,Return whether artist uses clipping
matplotlib.collections.PolyCollection.get_clip_path,Return artist clip path
matplotlib.collections.PolyCollection.get_cmap,return the colormap
matplotlib.collections.PolyCollection.get_contains,"Return the _ contains test used by the artist , or None for default ."
matplotlib.collections.PolyCollection.get_cursor_data,Get the cursor data for a given event .
matplotlib.collections.PolyCollection.get_figure,Return the Figure instance the artist belongs to .
matplotlib.collections.PolyCollection.get_fill,return whether fill is set
matplotlib.collections.PolyCollection.get_gid,Returns the group id
matplotlib.collections.PolyCollection.get_hatch,Return the current hatching pattern
matplotlib.collections.PolyCollection.get_label,Get the label used for this artist in the legend .
matplotlib.collections.PolyCollection.get_offset_position,Returns how offsets are applied for the collection .
matplotlib.collections.PolyCollection.get_offsets,Return the offsets for the collection .
matplotlib.collections.PolyCollection.get_picker,Return the picker object used by this artist
matplotlib.collections.PolyCollection.get_rasterized,return True if the artist is to be rasterized
matplotlib.collections.PolyCollection.get_sizes,Returns the sizes of the elements in the collection .
matplotlib.collections.PolyCollection.get_sketch_params,Returns the sketch parameters for the artist .
matplotlib.collections.PolyCollection.get_snap,Returns the snap setting which may be
matplotlib.collections.PolyCollection.get_transform,Return the Transform instance used by this artist .
matplotlib.collections.PolyCollection.get_transformed_clip_path_and_affine,"Return the clip path with the non-affine part of its transformation applied , and the remaining affine part of its transformation ."
matplotlib.collections.PolyCollection.get_url,Returns the url
matplotlib.collections.PolyCollection.get_visible,Return the artist 's visiblity
matplotlib.collections.PolyCollection.get_zorder,Return the Artist 's zorder .
matplotlib.collections.PolyCollection.have_units,Return True if units are set on the x or y axes
matplotlib.collections.PolyCollection.hitlist,List the children of the artist which contain the mouse event event .
matplotlib.collections.PolyCollection.is_figure_set,Returns True if the artist is assigned to a Figure .
matplotlib.collections.PolyCollection.is_transform_set,Returns True if Artist has a transform explicitly set .
matplotlib.collections.PolyCollection.pchanged,"Fire an event when property changed , calling all of the registered callbacks ."
matplotlib.collections.PolyCollection.pick,each child artist will fire a pick event if mouseevent is over the artist and the artist has picker set
matplotlib.collections.PolyCollection.pickable,Return True if Artist is pickable .
matplotlib.collections.PolyCollection.properties,return a dictionary mapping property name - > value for all Artist props
matplotlib.collections.PolyCollection.remove,Remove the artist from the figure if possible .
matplotlib.collections.PolyCollection.remove_callback,Remove a callback based on its id .
matplotlib.collections.PolyCollection.set,A property batch setter .
matplotlib.collections.PolyCollection.set_agg_filter,set agg_filter fuction .
matplotlib.collections.PolyCollection.set_alpha,Set the alpha tranparencies of the collection .
matplotlib.collections.PolyCollection.set_animated,Set the artist 's animation state .
matplotlib.collections.PolyCollection.set_antialiased,Set the antialiasing state for rendering .
matplotlib.collections.PolyCollection.set_antialiaseds,alias for set_antialiased
matplotlib.collections.PolyCollection.set_array,Set the image array from numpy array A
matplotlib.collections.PolyCollection.set_axes,"Set the Axes instance in which the artist resides , if any ."
matplotlib.collections.PolyCollection.set_clim,"set the norm limits for image scaling ; if vmin is a length2 sequence , interpret it as ( vmin , vmax ) which is used to support setp"
matplotlib.collections.PolyCollection.set_clip_box,Set the artist 's clip Bbox .
matplotlib.collections.PolyCollection.set_clip_on,Set whether artist uses clipping .
matplotlib.collections.PolyCollection.set_clip_path,"Set the artist 's clip path , which may be"
matplotlib.collections.PolyCollection.set_cmap,set the colormap for luminance data
matplotlib.collections.PolyCollection.set_color,Set both the edgecolor and the facecolor .
matplotlib.collections.PolyCollection.set_contains,Replace the contains test used by this artist .
matplotlib.collections.PolyCollection.set_dashes,alias for set_linestyle
matplotlib.collections.PolyCollection.set_edgecolor,Set the edgecolor(s ) of the collection .
matplotlib.collections.PolyCollection.set_edgecolors,alias for set_edgecolor
matplotlib.collections.PolyCollection.set_facecolor,Set the facecolor(s ) of the collection .
matplotlib.collections.PolyCollection.set_facecolors,alias for set_facecolor
matplotlib.collections.PolyCollection.set_figure,Set the Figure instance the artist belongs to .
matplotlib.collections.PolyCollection.set_gid,Sets the ( group ) id for the artist
matplotlib.collections.PolyCollection.set_hatch,Set the hatching pattern
matplotlib.collections.PolyCollection.set_label,Set the label to s for auto legend .
matplotlib.collections.PolyCollection.set_linestyle,Set the linestyle(s ) for the collection .
matplotlib.collections.PolyCollection.set_linestyles,alias for set_linestyle
matplotlib.collections.PolyCollection.set_linewidth,Set the linewidth(s ) for the collection .
matplotlib.collections.PolyCollection.set_linewidths,alias for set_linewidth
matplotlib.collections.PolyCollection.set_lw,alias for set_linewidth
matplotlib.collections.PolyCollection.set_norm,set the normalization instance
matplotlib.collections.PolyCollection.set_offset_position,Set how offsets are applied .
matplotlib.collections.PolyCollection.set_offsets,Set the offsets for the collection .
matplotlib.collections.PolyCollection.set_path_effects,"set path_effects , which should be a list of instances of matplotlib.patheffect._Base class or its derivatives ."
matplotlib.collections.PolyCollection.set_paths,This allows one to delay initialization of the vertices .
matplotlib.collections.PolyCollection.set_picker,Set the epsilon for picking used by this artist
matplotlib.collections.PolyCollection.set_rasterized,Force rasterized ( bitmap ) drawing in vector backend output .
matplotlib.collections.PolyCollection.set_sizes,Set the sizes of each member of the collection .
matplotlib.collections.PolyCollection.set_sketch_params,Sets the sketch parameters .
matplotlib.collections.PolyCollection.set_snap,Sets the snap setting which may be
matplotlib.collections.PolyCollection.set_transform,Set the Transform instance used by this artist .
matplotlib.collections.PolyCollection.set_url,Sets the url for the artist
matplotlib.collections.PolyCollection.set_verts,This allows one to delay initialization of the vertices .
matplotlib.collections.PolyCollection.set_verts_and_codes,This allows one to initialize vertices with path codes .
matplotlib.collections.PolyCollection.set_visible,Set the artist 's visiblity .
matplotlib.collections.PolyCollection.set_zorder,Set the zorder for the artist .
matplotlib.collections.PolyCollection.to_rgba,Return a normalized rgba array corresponding to x .
matplotlib.collections.PolyCollection.update,Update the properties of this Artist from the dictionary prop .
matplotlib.collections.PolyCollection.update_from,copy properties from other to self
matplotlib.collections.PolyCollection.update_scalarmappable,"If the scalar mappable array is not none , update colors from scalar data"
matplotlib.collections.QuadMesh.add_callback,Adds a callback function that will be called whenever one of the Artist 's properties changes .
matplotlib.collections.QuadMesh.add_checker,Add an entry to a dictionary of boolean flags that are set to True when the mappable is changed .
matplotlib.collections.QuadMesh.autoscale,Autoscale the scalar limits on the norm instance using the current array
matplotlib.collections.QuadMesh.autoscale_None,"Autoscale the scalar limits on the norm instance using the current array , changing only limits that are None"
matplotlib.collections.QuadMesh.changed,Call this whenever the mappable is changed to notify all the callbackSM listeners to the ' changed ' signal
matplotlib.collections.QuadMesh.check_update,"If mappable has changed since the last check , return True ; else return False"
matplotlib.collections.QuadMesh.contains,Test whether the mouse event occurred in the collection .
matplotlib.collections.QuadMesh.convert_mesh_to_triangles,"Converts a given mesh into a sequence of triangles , each point with its own color ."
matplotlib.collections.QuadMesh.convert_xunits,"For artists in an axes , if the xaxis has units support , convert x using xaxis unit type"
matplotlib.collections.QuadMesh.convert_yunits,"For artists in an axes , if the yaxis has units support , convert y using yaxis unit type"
matplotlib.collections.QuadMesh.findobj,Find artist objects .
matplotlib.collections.QuadMesh.format_cursor_data,Return cursor data string formatted .
matplotlib.collections.QuadMesh.get_agg_filter,return filter function to be used for agg filter
matplotlib.collections.QuadMesh.get_alpha,Return the alpha value used for blending - not supported on all backends
matplotlib.collections.QuadMesh.get_animated,Return the artist 's animated state
matplotlib.collections.QuadMesh.get_array,Return the array
matplotlib.collections.QuadMesh.get_axes,"Return the Axes instance the artist resides in , or None ."
matplotlib.collections.QuadMesh.get_children,Return a list of the child Artist`s this
matplotlib.collections.QuadMesh.get_clim,"return the min , max of the color limits for image scaling"
matplotlib.collections.QuadMesh.get_clip_box,Return artist clipbox
matplotlib.collections.QuadMesh.get_clip_on,Return whether artist uses clipping
matplotlib.collections.QuadMesh.get_clip_path,Return artist clip path
matplotlib.collections.QuadMesh.get_cmap,return the colormap
matplotlib.collections.QuadMesh.get_contains,"Return the _ contains test used by the artist , or None for default ."
matplotlib.collections.QuadMesh.get_cursor_data,Get the cursor data for a given event .
matplotlib.collections.QuadMesh.get_figure,Return the Figure instance the artist belongs to .
matplotlib.collections.QuadMesh.get_fill,return whether fill is set
matplotlib.collections.QuadMesh.get_gid,Returns the group id
matplotlib.collections.QuadMesh.get_hatch,Return the current hatching pattern
matplotlib.collections.QuadMesh.get_label,Get the label used for this artist in the legend .
matplotlib.collections.QuadMesh.get_offset_position,Returns how offsets are applied for the collection .
matplotlib.collections.QuadMesh.get_offsets,Return the offsets for the collection .
matplotlib.collections.QuadMesh.get_picker,Return the picker object used by this artist
matplotlib.collections.QuadMesh.get_rasterized,return True if the artist is to be rasterized
matplotlib.collections.QuadMesh.get_sketch_params,Returns the sketch parameters for the artist .
matplotlib.collections.QuadMesh.get_snap,Returns the snap setting which may be
matplotlib.collections.QuadMesh.get_transform,Return the Transform instance used by this artist .
matplotlib.collections.QuadMesh.get_transformed_clip_path_and_affine,"Return the clip path with the non-affine part of its transformation applied , and the remaining affine part of its transformation ."
matplotlib.collections.QuadMesh.get_url,Returns the url
matplotlib.collections.QuadMesh.get_visible,Return the artist 's visiblity
matplotlib.collections.QuadMesh.get_zorder,Return the Artist 's zorder .
matplotlib.collections.QuadMesh.have_units,Return True if units are set on the x or y axes
matplotlib.collections.QuadMesh.hitlist,List the children of the artist which contain the mouse event event .
matplotlib.collections.QuadMesh.is_figure_set,Returns True if the artist is assigned to a Figure .
matplotlib.collections.QuadMesh.is_transform_set,Returns True if Artist has a transform explicitly set .
matplotlib.collections.QuadMesh.pchanged,"Fire an event when property changed , calling all of the registered callbacks ."
matplotlib.collections.QuadMesh.pick,each child artist will fire a pick event if mouseevent is over the artist and the artist has picker set
matplotlib.collections.QuadMesh.pickable,Return True if Artist is pickable .
matplotlib.collections.QuadMesh.properties,return a dictionary mapping property name - > value for all Artist props
matplotlib.collections.QuadMesh.remove,Remove the artist from the figure if possible .
matplotlib.collections.QuadMesh.remove_callback,Remove a callback based on its id .
matplotlib.collections.QuadMesh.set,A property batch setter .
matplotlib.collections.QuadMesh.set_agg_filter,set agg_filter fuction .
matplotlib.collections.QuadMesh.set_alpha,Set the alpha tranparencies of the collection .
matplotlib.collections.QuadMesh.set_animated,Set the artist 's animation state .
matplotlib.collections.QuadMesh.set_antialiased,Set the antialiasing state for rendering .
matplotlib.collections.QuadMesh.set_antialiaseds,alias for set_antialiased
matplotlib.collections.QuadMesh.set_array,Set the image array from numpy array A
matplotlib.collections.QuadMesh.set_axes,"Set the Axes instance in which the artist resides , if any ."
matplotlib.collections.QuadMesh.set_clim,"set the norm limits for image scaling ; if vmin is a length2 sequence , interpret it as ( vmin , vmax ) which is used to support setp"
matplotlib.collections.QuadMesh.set_clip_box,Set the artist 's clip Bbox .
matplotlib.collections.QuadMesh.set_clip_on,Set whether artist uses clipping .
matplotlib.collections.QuadMesh.set_clip_path,"Set the artist 's clip path , which may be"
matplotlib.collections.QuadMesh.set_cmap,set the colormap for luminance data
matplotlib.collections.QuadMesh.set_color,Set both the edgecolor and the facecolor .
matplotlib.collections.QuadMesh.set_contains,Replace the contains test used by this artist .
matplotlib.collections.QuadMesh.set_dashes,alias for set_linestyle
matplotlib.collections.QuadMesh.set_edgecolor,Set the edgecolor(s ) of the collection .
matplotlib.collections.QuadMesh.set_edgecolors,alias for set_edgecolor
matplotlib.collections.QuadMesh.set_facecolor,Set the facecolor(s ) of the collection .
matplotlib.collections.QuadMesh.set_facecolors,alias for set_facecolor
matplotlib.collections.QuadMesh.set_figure,Set the Figure instance the artist belongs to .
matplotlib.collections.QuadMesh.set_gid,Sets the ( group ) id for the artist
matplotlib.collections.QuadMesh.set_hatch,Set the hatching pattern
matplotlib.collections.QuadMesh.set_label,Set the label to s for auto legend .
matplotlib.collections.QuadMesh.set_linestyle,Set the linestyle(s ) for the collection .
matplotlib.collections.QuadMesh.set_linestyles,alias for set_linestyle
matplotlib.collections.QuadMesh.set_linewidth,Set the linewidth(s ) for the collection .
matplotlib.collections.QuadMesh.set_linewidths,alias for set_linewidth
matplotlib.collections.QuadMesh.set_lw,alias for set_linewidth
matplotlib.collections.QuadMesh.set_norm,set the normalization instance
matplotlib.collections.QuadMesh.set_offset_position,Set how offsets are applied .
matplotlib.collections.QuadMesh.set_offsets,Set the offsets for the collection .
matplotlib.collections.QuadMesh.set_path_effects,"set path_effects , which should be a list of instances of matplotlib.patheffect._Base class or its derivatives ."
matplotlib.collections.QuadMesh.set_picker,Set the epsilon for picking used by this artist
matplotlib.collections.QuadMesh.set_rasterized,Force rasterized ( bitmap ) drawing in vector backend output .
matplotlib.collections.QuadMesh.set_sketch_params,Sets the sketch parameters .
matplotlib.collections.QuadMesh.set_snap,Sets the snap setting which may be
matplotlib.collections.QuadMesh.set_transform,Set the Transform instance used by this artist .
matplotlib.collections.QuadMesh.set_url,Sets the url for the artist
matplotlib.collections.QuadMesh.set_visible,Set the artist 's visiblity .
matplotlib.collections.QuadMesh.set_zorder,Set the zorder for the artist .
matplotlib.collections.QuadMesh.to_rgba,Return a normalized rgba array corresponding to x .
matplotlib.collections.QuadMesh.update,Update the properties of this Artist from the dictionary prop .
matplotlib.collections.QuadMesh.update_from,copy properties from other to self
matplotlib.collections.QuadMesh.update_scalarmappable,"If the scalar mappable array is not none , update colors from scalar data"
matplotlib.collections.RegularPolyCollection.add_callback,Adds a callback function that will be called whenever one of the Artist 's properties changes .
matplotlib.collections.RegularPolyCollection.add_checker,Add an entry to a dictionary of boolean flags that are set to True when the mappable is changed .
matplotlib.collections.RegularPolyCollection.autoscale,Autoscale the scalar limits on the norm instance using the current array
matplotlib.collections.RegularPolyCollection.autoscale_None,"Autoscale the scalar limits on the norm instance using the current array , changing only limits that are None"
matplotlib.collections.RegularPolyCollection.changed,Call this whenever the mappable is changed to notify all the callbackSM listeners to the ' changed ' signal
matplotlib.collections.RegularPolyCollection.check_update,"If mappable has changed since the last check , return True ; else return False"
matplotlib.collections.RegularPolyCollection.contains,Test whether the mouse event occurred in the collection .
matplotlib.collections.RegularPolyCollection.convert_xunits,"For artists in an axes , if the xaxis has units support , convert x using xaxis unit type"
matplotlib.collections.RegularPolyCollection.convert_yunits,"For artists in an axes , if the yaxis has units support , convert y using yaxis unit type"
matplotlib.collections.RegularPolyCollection.findobj,Find artist objects .
matplotlib.collections.RegularPolyCollection.format_cursor_data,Return cursor data string formatted .
matplotlib.collections.RegularPolyCollection.get_agg_filter,return filter function to be used for agg filter
matplotlib.collections.RegularPolyCollection.get_alpha,Return the alpha value used for blending - not supported on all backends
matplotlib.collections.RegularPolyCollection.get_animated,Return the artist 's animated state
matplotlib.collections.RegularPolyCollection.get_array,Return the array
matplotlib.collections.RegularPolyCollection.get_axes,"Return the Axes instance the artist resides in , or None ."
matplotlib.collections.RegularPolyCollection.get_children,Return a list of the child Artist`s this
matplotlib.collections.RegularPolyCollection.get_clim,"return the min , max of the color limits for image scaling"
matplotlib.collections.RegularPolyCollection.get_clip_box,Return artist clipbox
matplotlib.collections.RegularPolyCollection.get_clip_on,Return whether artist uses clipping
matplotlib.collections.RegularPolyCollection.get_clip_path,Return artist clip path
matplotlib.collections.RegularPolyCollection.get_cmap,return the colormap
matplotlib.collections.RegularPolyCollection.get_contains,"Return the _ contains test used by the artist , or None for default ."
matplotlib.collections.RegularPolyCollection.get_cursor_data,Get the cursor data for a given event .
matplotlib.collections.RegularPolyCollection.get_figure,Return the Figure instance the artist belongs to .
matplotlib.collections.RegularPolyCollection.get_fill,return whether fill is set
matplotlib.collections.RegularPolyCollection.get_gid,Returns the group id
matplotlib.collections.RegularPolyCollection.get_hatch,Return the current hatching pattern
matplotlib.collections.RegularPolyCollection.get_label,Get the label used for this artist in the legend .
matplotlib.collections.RegularPolyCollection.get_offset_position,Returns how offsets are applied for the collection .
matplotlib.collections.RegularPolyCollection.get_offsets,Return the offsets for the collection .
matplotlib.collections.RegularPolyCollection.get_picker,Return the picker object used by this artist
matplotlib.collections.RegularPolyCollection.get_rasterized,return True if the artist is to be rasterized
matplotlib.collections.RegularPolyCollection.get_sizes,Returns the sizes of the elements in the collection .
matplotlib.collections.RegularPolyCollection.get_sketch_params,Returns the sketch parameters for the artist .
matplotlib.collections.RegularPolyCollection.get_snap,Returns the snap setting which may be
matplotlib.collections.RegularPolyCollection.get_transform,Return the Transform instance used by this artist .
matplotlib.collections.RegularPolyCollection.get_transformed_clip_path_and_affine,"Return the clip path with the non-affine part of its transformation applied , and the remaining affine part of its transformation ."
matplotlib.collections.RegularPolyCollection.get_url,Returns the url
matplotlib.collections.RegularPolyCollection.get_visible,Return the artist 's visiblity
matplotlib.collections.RegularPolyCollection.get_zorder,Return the Artist 's zorder .
matplotlib.collections.RegularPolyCollection.have_units,Return True if units are set on the x or y axes
matplotlib.collections.RegularPolyCollection.hitlist,List the children of the artist which contain the mouse event event .
matplotlib.collections.RegularPolyCollection.is_figure_set,Returns True if the artist is assigned to a Figure .
matplotlib.collections.RegularPolyCollection.is_transform_set,Returns True if Artist has a transform explicitly set .
matplotlib.collections.RegularPolyCollection.pchanged,"Fire an event when property changed , calling all of the registered callbacks ."
matplotlib.collections.RegularPolyCollection.pick,each child artist will fire a pick event if mouseevent is over the artist and the artist has picker set
matplotlib.collections.RegularPolyCollection.pickable,Return True if Artist is pickable .
matplotlib.collections.RegularPolyCollection.properties,return a dictionary mapping property name - > value for all Artist props
matplotlib.collections.RegularPolyCollection.remove,Remove the artist from the figure if possible .
matplotlib.collections.RegularPolyCollection.remove_callback,Remove a callback based on its id .
matplotlib.collections.RegularPolyCollection.set,A property batch setter .
matplotlib.collections.RegularPolyCollection.set_agg_filter,set agg_filter fuction .
matplotlib.collections.RegularPolyCollection.set_alpha,Set the alpha tranparencies of the collection .
matplotlib.collections.RegularPolyCollection.set_animated,Set the artist 's animation state .
matplotlib.collections.RegularPolyCollection.set_antialiased,Set the antialiasing state for rendering .
matplotlib.collections.RegularPolyCollection.set_antialiaseds,alias for set_antialiased
matplotlib.collections.RegularPolyCollection.set_array,Set the image array from numpy array A
matplotlib.collections.RegularPolyCollection.set_axes,"Set the Axes instance in which the artist resides , if any ."
matplotlib.collections.RegularPolyCollection.set_clim,"set the norm limits for image scaling ; if vmin is a length2 sequence , interpret it as ( vmin , vmax ) which is used to support setp"
matplotlib.collections.RegularPolyCollection.set_clip_box,Set the artist 's clip Bbox .
matplotlib.collections.RegularPolyCollection.set_clip_on,Set whether artist uses clipping .
matplotlib.collections.RegularPolyCollection.set_clip_path,"Set the artist 's clip path , which may be"
matplotlib.collections.RegularPolyCollection.set_cmap,set the colormap for luminance data
matplotlib.collections.RegularPolyCollection.set_color,Set both the edgecolor and the facecolor .
matplotlib.collections.RegularPolyCollection.set_contains,Replace the contains test used by this artist .
