elem_id,name,full_name,type,parent_id,rtype,count,utter,utter_expand
plt.gca.coords.set_ticklabel_position,set_ticklabel_position,matplotlib.axes.Axes.coords.set_ticklabel_position,func,plt.gca.coords,,2,,
plt.errorbar@zorder,zorder,matplotlib.pyplot.errorbar@zorder,arg,plt.errorbar,,24,set the zorder for the artist .,set the zorder for the artist .
plt.figure.canvas.figure.clf,clf,matplotlib.pyplot.figure.canvas.figure.clf,func,plt.figure.canvas.figure,,4,,
mpl.collections.PatchCollection.set_linestyles,set_linestyles,matplotlib.collections.PatchCollection.set_linestyles,func,mpl.collections.PatchCollection,,0,alias for set_linestyle,alias for set_linestyle
plt.gca.xaxis.draw@0,0,matplotlib.axes.Axes.xaxis.draw@0,arg,plt.gca.xaxis.draw,,2,,
plt.gca.annotate@xy,xy,matplotlib.pyplot.annotate@xy,arg,plt.gca.annotate,,1,the annotation_clip attribute controls the visibility of the annotation when it goes outside the axes,the annotation_clip attribute controls the visibility of the annotation when it goes outside the axes area .
plt.gca.set@theta_direction,theta_direction,matplotlib.axes.Axes.set@theta_direction,arg,plt.gca.set,,10,,
mpl.backend_bases.ToolContainerBase.add_toolitem@position,position,matplotlib.backend_bases.ToolContainerBase.add_toolitem@position,arg,mpl.backend_bases.ToolContainerBase.add_toolitem,,0,"position of the tool within its group , if - 1 it goes at the","position of the tool within its group , if - 1 it goes at the end"
plt.gca.bxp@boxprops,boxprops,matplotlib.axes.Axes.bxp@boxprops,arg,plt.gca.bxp,,16,"if provided , will set the plotting style of the boxes","if provided , will set the plotting style of the boxes"
ax.grid@which,which,matplotlib.axes.Axes.grid@which,arg,ax.grid,,0,"which can be ' major ' ( default ) , ' minor ' , or","which can be ' major ' ( default ) , ' minor ' , or ' both ' to control whether major tick grids , minor tick grids , or both are affected ."
mpl.font_manager.weight_as_number,weight_as_number,matplotlib.font_manager.weight_as_number,func,mpl.font_manager,,0,return the weight property as a numeric value .,return the weight property as a numeric value .
plt.quiver.shape,shape,matplotlib.pyplot.quiver.shape,func,plt.quiver,,2,,
plt.semilogx@title,title,matplotlib.pyplot.semilogx@title,arg,plt.semilogx,,0,set a title for the axes .,set a title for the axes .
plt.gca.set_position@0,0,matplotlib.axes.Axes.set_position@0,arg,plt.gca.set_position,,168,,
ax.set_xscale@subsx,subsx,matplotlib.axes.Axes.set_xscale@subsx,arg,ax.set_xscale,,0,where to place the subticks between each major tick .,where to place the subticks between each major tick .
plt.Normalize.vmin,vmin,matplotlib.pyplot.Normalize.vmin,func,plt.Normalize,,1,,
plt.gca.rake@0,0,matplotlib.axes.Axes.rake@0,arg,plt.gca.rake,,8,,
plt.gca.rake@1,1,matplotlib.axes.Axes.rake@1,arg,plt.gca.rake,,8,,
plt.gca.rake@2,2,matplotlib.axes.Axes.rake@2,arg,plt.gca.rake,,8,,
plt.gca.rake@3,3,matplotlib.axes.Axes.rake@3,arg,plt.gca.rake,,2,,
plt.clabel@zorder,zorder,matplotlib.pyplot.clabel@zorder,arg,plt.clabel,,2,,
plt.bar.set_ydata@0,0,matplotlib.pyplot.bar.set_ydata@0,arg,plt.bar.set_ydata,,2,,
plt.colorbar.ax.yaxis.set_ticks_position@0,0,matplotlib.pyplot.colorbar.ax.yaxis.set_ticks_position@0,arg,plt.colorbar.ax.yaxis.set_ticks_position,,7,,
mpl.collections.TriMesh.get_array,get_array,matplotlib.collections.TriMesh.get_array,func,mpl.collections.TriMesh,,0,return the array,return the array
plt.figure.canvas.manager.window.set_keep_above@0,0,matplotlib.pyplot.figure.canvas.manager.window.set_keep_above@0,arg,plt.figure.canvas.manager.window.set_keep_above,,1,,
plt.imread.reshape,reshape,matplotlib.pyplot.imread.reshape,func,plt.imread,,1,,
plt.imread.dtype,dtype,matplotlib.pyplot.imread.dtype,func,plt.imread,,1,,
ax.fill_betweenx,fill_betweenx,matplotlib.axes.Axes.fill_betweenx,func,ax,,0,make filled polygons between two horizontal curves .,make filled polygons between two horizontal curves .
plt.figure.add_subplot.xaxis.set@label_position,label_position,matplotlib.pyplot.figure.add_subplot.xaxis.set@label_position,arg,plt.figure.add_subplot.xaxis.set,,3,,
ax.fill@joinstyle,joinstyle,matplotlib.axes.Axes.fill@joinstyle,arg,ax.fill,,0,set the patch joinstyle,set the patch joinstyle
plt.figure.sca,sca,matplotlib.pyplot.sca,func,plt.figure,,9,set the current axes instance to ax .,set the current axes instance to ax .
mpl.backend_bases.ToolContainerBase.add_tool@tool,tool,matplotlib.backend_bases.ToolContainerBase.add_tool@tool,arg,mpl.backend_bases.ToolContainerBase.add_tool,,0,"the tool to add , see toolmanager.get_tool .","the tool to add , see toolmanager.get_tool ."
plt.gcf.__class__.confdir,confdir,matplotlib.pyplot.gcf.__class__.confdir,func,plt.gcf.__class__,,2,,
plt.annotate@horizontalalignment,horizontalalignment,matplotlib.pyplot.annotate@horizontalalignment,arg,plt.annotate,,148,set the horizontal alignment to one of,set the horizontal alignment to one of
plt.gci.make_image.append@0,0,matplotlib.pyplot.gci.make_image.append@0,arg,plt.gci.make_image.append,,2,,
plt.psd@xlim,xlim,matplotlib.pyplot.psd@xlim,arg,plt.psd,,0,set the data limits for the xaxis,set the data limits for the xaxis
mpl.text.Text.set_clip_on,set_clip_on,matplotlib.text.Text.set_clip_on,func,mpl.text.Text,,0,set whether artist uses clipping .,set whether artist uses clipping .
plt.axis.flat.twinx.tick_params@which,which,matplotlib.pyplot.axis.flat.twinx.tick_params@which,arg,plt.axis.flat.twinx.tick_params,,1,,
mpl.collections.QuadMesh.findobj,findobj,matplotlib.collections.QuadMesh.findobj,func,mpl.collections.QuadMesh,,0,find artist objects .,find artist objects .
plt.semilogx@fmt,fmt,matplotlib.pyplot.semilogx@fmt,arg,plt.semilogx,,0,"if not used with labeled data ( i.e. , without a data argument ) ,","if not used with labeled data ( i.e. , without a data argument ) , an arbitrary number of x , y , fmt groups can be specified , as in :"
mpl.patches.Patch.update_from@other,other,matplotlib.patches.Patch.update_from@other,arg,mpl.patches.Patch.update_from,,0,updates this patch from the properties of other .,updates this patch from the properties of other .
ax.arrow@prop_cycle,prop_cycle,matplotlib.axes.Axes.arrow@prop_cycle,arg,ax.arrow,,0,set the property cycle for any future plot commands on this axes .,set the property cycle for any future plot commands on this axes .
plt.gcf.patch.set_visible@0,0,matplotlib.pyplot.gcf.patch.set_visible@0,arg,plt.gcf.patch.set_visible,,1,,
mpl.finance.volume_overlay@ax,ax,matplotlib.finance.volume_overlay@ax,arg,mpl.finance.volume_overlay,,0,an axes instance to plot to,an axes instance to plot to
plt.axis.major_ticklabels.set_rotation,set_rotation,matplotlib.pyplot.axis.major_ticklabels.set_rotation,func,plt.axis.major_ticklabels,,2,,
plt.twinx.twiny.twinx.set_yticks,set_yticks,matplotlib.pyplot.twinx.twiny.twinx.set_yticks,func,plt.twinx.twiny.twinx,,1,,
plt.gca.get_lines.get_path@0,0,matplotlib.axes.Axes.get_lines.get_path@0,arg,plt.gca.get_lines.get_path,,6,,
ax.loglog@nonposx,nonposx,matplotlib.axes.Axes.loglog@nonposx,arg,ax.loglog,,0,"non-positive values in x or y can be masked as invalid , or clipped to","non-positive values in x or y can be masked as invalid , or clipped to a very small positive number"
plt.gcf.__class__.ColorGenerator@0,0,matplotlib.pyplot.gcf.__class__.ColorGenerator@0,arg,plt.gcf.__class__.ColorGenerator,,1,,
mpl.collections.Collection.set_cmap,set_cmap,matplotlib.collections.Collection.set_cmap,func,mpl.collections.Collection,,0,set the colormap for luminance data,set the colormap for luminance data
plt.text@linespacing,linespacing,matplotlib.pyplot.text@linespacing,arg,plt.text,,0,set the line spacing as a multiple of the font size .,set the line spacing as a multiple of the font size .
mpl.mathtext.Vlist.vpack,vpack,matplotlib.mathtext.Vlist.vpack,func,mpl.mathtext.Vlist,,0,the main duty of vpack ( ) is to compute the dimensions of the resulting,"the main duty of vpack ( ) is to compute the dimensions of the resulting boxes , and to adjust the glue if one of those dimensions is pre-specified ."
plt.Circle.set_edgecolor@0,0,matplotlib.pyplot.Circle.set_edgecolor@0,arg,plt.Circle.set_edgecolor,,1,,
plt.gca.images.set_data,set_data,matplotlib.axes.Axes.images.set_data,func,plt.gca.images,,7,,
ax.start_pan@x,x,matplotlib.axes.Axes.start_pan@x,arg,ax.start_pan,,0,"x , y are the mouse coordinates in display coords .","x , y are the mouse coordinates in display coords ."
mpl.backend_bases.NavigationToolbar2.zoom,zoom,matplotlib.backend_bases.NavigationToolbar2.zoom,func,mpl.backend_bases.NavigationToolbar2,,0,activate zoom to rect mode,activate zoom to rect mode
plt.barbs@yscale,yscale,matplotlib.pyplot.barbs@yscale,arg,plt.barbs,,0,set the scaling of the y-axis,set the scaling of the y-axis
plt.savefig@dpi,dpi,matplotlib.pyplot.savefig@dpi,arg,plt.savefig,,958,the resolution in dots per inch .,the resolution in dots per inch .
plt.axhline@sketch_params,sketch_params,matplotlib.pyplot.axhline@sketch_params,arg,plt.axhline,,0,sets the sketch parameters .,sets the sketch parameters .
mpl.collections.PathCollection.set_offsets,set_offsets,matplotlib.collections.PathCollection.set_offsets,func,mpl.collections.PathCollection,,0,set the offsets for the collection .,set the offsets for the collection .
plt.scatter.encode.encode,encode,matplotlib.pyplot.scatter.encode.encode,func,plt.scatter.encode,,1,,
mpl.collections.LineCollection.pick,pick,matplotlib.collections.LineCollection.pick,func,mpl.collections.LineCollection,,0,each child artist will fire a pick event if mouseevent is over the artist and,each child artist will fire a pick event if mouseevent is over the artist and the artist has picker set
plt.gca.yaxis,yaxis,matplotlib.axes.Axes.yaxis,func,plt.gca,,19,,
ax.get_snap,get_snap,matplotlib.axes.Axes.get_snap,func,ax,,0,returns the snap setting which may be,returns the snap setting which may be
plt.gca.xaxis.LABELPAD,LABELPAD,matplotlib.axes.Axes.xaxis.LABELPAD,func,plt.gca.xaxis,,5,,
mpl.text.get_rotation,get_rotation,matplotlib.text.get_rotation,func,mpl.text,,0,return the text angle as float .,return the text angle as float .
plt.figure.readline.strip,strip,matplotlib.pyplot.figure.readline.strip,func,plt.figure.readline,,4,,
plt.gca.yaxis.grid@color,color,matplotlib.axes.Axes.yaxis.grid@color,arg,plt.gca.yaxis.grid,,31,,
plt.gca.text2D,text2D,matplotlib.axes.Axes.text2D,func,plt.gca,,12,,
plt.figure.canvas.manager.frame,frame,matplotlib.pyplot.figure.canvas.manager.frame,func,plt.figure.canvas.manager,,3,,
ax.pcolormesh@ylim,ylim,matplotlib.axes.Axes.pcolormesh@ylim,arg,ax.pcolormesh,,0,set the data limits for the yaxis,set the data limits for the yaxis
plt.plot@xunits,xunits,matplotlib.pyplot.plot@xunits,arg,plt.plot,,110,,
plt.figure.set_xticklabels,set_xticklabels,matplotlib.pyplot.figure.set_xticklabels,func,plt.figure,,1,,
mpl.collections.PathCollection.contains,contains,matplotlib.collections.PathCollection.contains,func,mpl.collections.PathCollection,,0,test whether the mouse event occurred in the collection .,test whether the mouse event occurred in the collection .
mpl.collections.PolyCollection.get_zorder,get_zorder,matplotlib.collections.PolyCollection.get_zorder,func,mpl.collections.PolyCollection,,0,return the artist 's zorder .,return the artist 's zorder .
plt.plot@label,label,matplotlib.pyplot.plot@label,arg,plt.plot,,3805,set the label to s for auto legend .,set the label to s for auto legend .
plt.figtext@linestyle,linestyle,matplotlib.pyplot.figtext@linestyle,arg,plt.figtext,,0,set the patch linestyle,set the patch linestyle
plt.histogram@1,1,matplotlib.pyplot.histogram@1,arg,plt.histogram,,1,,
plt.contour@levels,levels,matplotlib.pyplot.contour@levels,arg,plt.contour,,75,"a list of floating point numbers indicating the level curves to draw , in increasing","a list of floating point numbers indicating the level curves to draw , in increasing order ; e.g. , to draw just the zero contour pass levels=[0 ]"
plt.legend.get_frame.set_edgecolor,set_edgecolor,matplotlib.legend.Legend.get_frame.set_edgecolor,func,plt.legend.get_frame,,8,,
mpl.collections.LineCollection.set_visible,set_visible,matplotlib.collections.LineCollection.set_visible,func,mpl.collections.LineCollection,,0,set the artist 's visiblity .,set the artist 's visiblity .
plt.gca.bxp@capprops,capprops,matplotlib.axes.Axes.bxp@capprops,arg,plt.gca.bxp,,5,"if provided , will set the plotting style of the caps","if provided , will set the plotting style of the caps"
ax.axvspan@picker,picker,matplotlib.axes.Axes.axvspan@picker,arg,ax.axvspan,,0,set the epsilon for picking used by this artist,set the epsilon for picking used by this artist
ax.hexbin@anchor,anchor,matplotlib.axes.Axes.hexbin@anchor,arg,ax.hexbin,,0,anchor,anchor
plt.axes@0,0,matplotlib.pyplot.axes@0,arg,plt.axes,,974,,
mpl.collections.EventCollection.set_dashes,set_dashes,matplotlib.collections.EventCollection.set_dashes,func,mpl.collections.EventCollection,,0,alias for set_linestyle,alias for set_linestyle
mpl.collections.EllipseCollection.set_dashes,set_dashes,matplotlib.collections.EllipseCollection.set_dashes,func,mpl.collections.EllipseCollection,,0,alias for set_linestyle,alias for set_linestyle
plt.gca.xaxis.get_label.set_text,set_text,matplotlib.axes.Axes.xaxis.get_label.set_text,func,plt.gca.xaxis.get_label,,2,,
plt.fill@codes,codes,matplotlib.pyplot.fill@codes,arg,plt.fill,,0,n-length array integers representing the codes of the path .,n-length array integers representing the codes of the path .
ax.phase_spectrum@markeredgewidth,markeredgewidth,matplotlib.axes.Axes.phase_spectrum@markeredgewidth,arg,ax.phase_spectrum,,0,set the marker edge width in points,set the marker edge width in points
plt.axis.set_ticks_position,set_ticks_position,matplotlib.pyplot.axis.set_ticks_position,func,plt.axis,,6,,
plt.pcolormesh.imshow,imshow,matplotlib.pyplot.pcolormesh.imshow,func,plt.pcolormesh,,2,,
plt.phase_spectrum@visible,visible,matplotlib.pyplot.phase_spectrum@visible,arg,plt.phase_spectrum,,0,set the artist 's visiblity .,set the artist 's visiblity .
mpl.collections.CircleCollection.set_linestyles,set_linestyles,matplotlib.collections.CircleCollection.set_linestyles,func,mpl.collections.CircleCollection,,0,alias for set_linestyle,alias for set_linestyle
plt.scatter.set_clim,set_clim,matplotlib.pyplot.scatter.set_clim,func,plt.scatter,,5,,
plt.gcf.colorbar_classic@cspacing,cspacing,matplotlib.pyplot.gcf.colorbar_classic@cspacing,arg,plt.gcf.colorbar_classic,,1,,
mpl.collections.LineCollection.set_clim@vmin,vmin,matplotlib.collections.LineCollection.set_clim@vmin,arg,mpl.collections.LineCollection.set_clim,,0,"set the norm limits for image scaling ; if vmin is a length2 sequence ,","set the norm limits for image scaling ; if vmin is a length2 sequence , interpret it as ( vmin , vmax ) which is used to support setp"
ax.phase_spectrum@animated,animated,matplotlib.axes.Axes.phase_spectrum@animated,arg,ax.phase_spectrum,,0,set the artist 's animation state .,set the artist 's animation state .
plt.disconnect@0,0,matplotlib.pyplot.disconnect@0,arg,plt.disconnect,,6,,
mpl.offsetbox.TextArea.set_multilinebaseline,set_multilinebaseline,matplotlib.offsetbox.TextArea.set_multilinebaseline,func,mpl.offsetbox.TextArea,,0,set multilinebaseline .,set multilinebaseline .
plt.ginput@verbose,verbose,matplotlib.pyplot.ginput@verbose,arg,plt.ginput,,1,,
plt.broken_barh@axes,axes,matplotlib.pyplot.broken_barh@axes,arg,plt.broken_barh,,0,"set the axes instance in which the artist resides , if any .","set the axes instance in which the artist resides , if any ."
plt.legend.texts.append@0,0,matplotlib.legend.Legend.texts.append@0,arg,plt.legend.texts.append,,13,,
plt.matplotlib.pyplot.figure.add_subplot.plot_wireframe@0,0,matplotlib.pyplot.matplotlib.pyplot.figure.add_subplot.plot_wireframe@0,arg,plt.matplotlib.pyplot.figure.add_subplot.plot_wireframe,,1,,
plt.matplotlib.pyplot.figure.add_subplot.plot_wireframe@1,1,matplotlib.pyplot.matplotlib.pyplot.figure.add_subplot.plot_wireframe@1,arg,plt.matplotlib.pyplot.figure.add_subplot.plot_wireframe,,1,,
plt.matplotlib.pyplot.figure.add_subplot.plot_wireframe@2,2,matplotlib.pyplot.matplotlib.pyplot.figure.add_subplot.plot_wireframe@2,arg,plt.matplotlib.pyplot.figure.add_subplot.plot_wireframe,,1,,
ax.cohere@prop_cycle,prop_cycle,matplotlib.axes.Axes.cohere@prop_cycle,arg,ax.cohere,,0,set the property cycle for any future plot commands on this axes .,set the property cycle for any future plot commands on this axes .
plt.axes@title,title,matplotlib.pyplot.axes@title,arg,plt.axes,,3,,
plt.Polygon.getAttribute.set_rotation@0,0,matplotlib.pyplot.Polygon.getAttribute.set_rotation@0,arg,plt.Polygon.getAttribute.set_rotation,,1,,
mpl.collections.BrokenBarHCollection.pick,pick,matplotlib.collections.BrokenBarHCollection.pick,func,mpl.collections.BrokenBarHCollection,,0,each child artist will fire a pick event if mouseevent is over the artist and,each child artist will fire a pick event if mouseevent is over the artist and the artist has picker set
plt.quiver@path_effects,path_effects,matplotlib.pyplot.quiver@path_effects,arg,plt.quiver,,0,"set path_effects , which should be a list of instances of matplotlib.patheffect._base class or its","set path_effects , which should be a list of instances of matplotlib.patheffect._base class or its derivatives ."
ax.broken_barh@picker,picker,matplotlib.axes.Axes.broken_barh@picker,arg,ax.broken_barh,,0,set the epsilon for picking used by this artist,set the epsilon for picking used by this artist
plt.angle_spectrum@contains,contains,matplotlib.pyplot.angle_spectrum@contains,arg,plt.angle_spectrum,,0,replace the contains test used by this artist .,replace the contains test used by this artist .
plt.twinx.twiny.twinx.grid@color,color,matplotlib.pyplot.twinx.twiny.twinx.grid@color,arg,plt.twinx.twiny.twinx.grid,,1,,
mpl.collections.EllipseCollection.format_cursor_data,format_cursor_data,matplotlib.collections.EllipseCollection.format_cursor_data,func,mpl.collections.EllipseCollection,,0,return cursor data string formatted .,return cursor data string formatted .
plt.plot.rstrip.rstrip,rstrip,matplotlib.pyplot.plot.rstrip.rstrip,func,plt.plot.rstrip,,1,,
mpl.collections.StarPolygonCollection.set_sizes@sizes,sizes,matplotlib.collections.StarPolygonCollection.set_sizes@sizes,arg,mpl.collections.StarPolygonCollection.set_sizes,,0,the size to set for each element of the collection . the value is the,the size to set for each element of the collection . the value is the ' area ' of the element .
ax.pcolor@facecolor,facecolor,matplotlib.axes.Axes.pcolor@facecolor,arg,ax.pcolor,,0,set the facecolor(s ) of the collection .,set the facecolor(s ) of the collection .
ax.set_yticklabels@xticks,xticks,matplotlib.axes.Axes.set_yticklabels@xticks,arg,ax.set_yticklabels,,0,set the x ticks with list of ticks,set the x ticks with list of ticks
plt.plot@yticks,yticks,matplotlib.pyplot.plot@yticks,arg,plt.plot,,0,set the y ticks with list of ticks,set the y ticks with list of ticks
plt.gca.get_yaxis.set_major_locator,set_major_locator,matplotlib.axes.Axes.get_yaxis.set_major_locator,func,plt.gca.get_yaxis,,4,,
plt.magnitude_spectrum@figure,figure,matplotlib.pyplot.magnitude_spectrum@figure,arg,plt.magnitude_spectrum,,0,set the figure instance the artist belongs to .,set the figure instance the artist belongs to .
ax.grid@position,position,matplotlib.axes.Axes.grid@position,arg,ax.grid,,0,set the axes position with,set the axes position with
plt.gca.yaxis.set_tick_position@0,0,matplotlib.axes.Axes.yaxis.set_tick_position@0,arg,plt.gca.yaxis.set_tick_position,,1,,
plt.psd@yticklabels,yticklabels,matplotlib.pyplot.psd@yticklabels,arg,plt.psd,,0,set the y tick labels with list of strings labels .,set the y tick labels with list of strings labels .
mpl.collections.TriMesh.get_clim,get_clim,matplotlib.collections.TriMesh.get_clim,func,mpl.collections.TriMesh,,0,"return the min , max of the color limits for image scaling","return the min , max of the color limits for image scaling"
ax.semilogy@color,color,matplotlib.axes.Axes.semilogy@color,arg,ax.semilogy,,0,set the color of the line,set the color of the line
mpl.collections.EventCollection.set_lw,set_lw,matplotlib.collections.EventCollection.set_lw,func,mpl.collections.EventCollection,,0,alias for set_linewidth,alias for set_linewidth
mpl.collections.EllipseCollection.get_axes,get_axes,matplotlib.collections.EllipseCollection.get_axes,func,mpl.collections.EllipseCollection,,0,"return the axes instance the artist resides in , or none .","return the axes instance the artist resides in , or none ."
plt.text.set_horizontalalignment@0,0,matplotlib.pyplot.text.set_horizontalalignment@0,arg,plt.text.set_horizontalalignment,,4,,
plt.ginput@mouse_add,mouse_add,matplotlib.pyplot.ginput@mouse_add,arg,plt.ginput,,7,"the buttons used for the various actions ( adding points , removing points , terminating","the buttons used for the various actions ( adding points , removing points , terminating the inputs ) can be overriden via the arguments mouse_add , mouse_pop and mouse_stop , that give the associated mouse button : 1 for left , 2 for middle , 3 for right ."
plt.rcParams.update@0@figure.autolayout,figure.autolayout,matplotlib.pyplot.rcParams.update@0@figure.autolayout,argkey,plt.rcParams.update@0,,1,,
plt.gca.xaxis.set_label_coords@0,0,matplotlib.axes.Axes.xaxis.set_label_coords@0,arg,plt.gca.xaxis.set_label_coords,,12,,
ax.axvspan@readonly,readonly,matplotlib.axes.Axes.axvspan@readonly,arg,ax.axvspan,,0,makes the path behave in an immutable way and sets the vertices and codes as,makes the path behave in an immutable way and sets the vertices and codes as read-only arrays .
plt.matplotlib.colors.LinearSegmentedColormap.from_list@N,N,matplotlib.pyplot.matplotlib.colors.LinearSegmentedColormap.from_list@N,arg,plt.matplotlib.colors.LinearSegmentedColormap.from_list,,2,,
plt.gca.flat.twinx.yaxis.label.set_color,set_color,matplotlib.axes.Axes.flat.twinx.yaxis.label.set_color,func,plt.gca.flat.twinx.yaxis.label,,2,,
plt.axis.lower.set_minor_formatter@0,0,matplotlib.pyplot.axis.lower.set_minor_formatter@0,arg,plt.axis.lower.set_minor_formatter,,1,,
mpl.backend_managers.ToolManager.remove_tool@name,name,matplotlib.backend_managers.ToolManager.remove_tool@name,arg,mpl.backend_managers.ToolManager.remove_tool,,0,name of the tool,name of the tool
mpl.mlab.movavg@n,n,matplotlib.mlab.movavg@n,arg,mpl.mlab.movavg,,0,compute the len(n ) moving average of x .,compute the len(n ) moving average of x .
mpl.font_manager.afmFontProperty,afmFontProperty,matplotlib.font_manager.afmFontProperty,func,mpl.font_manager,,0,a function for populating a fontkey instance by extracting information from the afm font file,a function for populating a fontkey instance by extracting information from the afm font file .
plt.table@snap,snap,matplotlib.pyplot.table@snap,arg,plt.table,,0,sets the snap setting which may be,sets the snap setting which may be
plt.cohere@yscale,yscale,matplotlib.pyplot.cohere@yscale,arg,plt.cohere,,0,set the scaling of the y-axis,set the scaling of the y-axis
plt.savefig@frameon,frameon,matplotlib.pyplot.savefig@frameon,arg,plt.savefig,,0,"if true , the figure patch will be colored , if false , the figure","if true , the figure patch will be colored , if false , the figure background will be transparent . if not provided , the rcparam ' savefig.frameon ' will be used ."
plt.matplotlib.pyplot.gca.set_xlabel,set_xlabel,matplotlib.pyplot.matplotlib.pyplot.gca.set_xlabel,func,plt.matplotlib.pyplot.gca,,1,,
plt.text@style,style,matplotlib.pyplot.text@style,arg,plt.text,,49,set the font style .,set the font style .
plt.matplotlib.rcParams.append,append,matplotlib.pyplot.matplotlib.rcParams.append,func,plt.matplotlib.rcParams,,1,,
mpl.image.AxesImage.get_extent,get_extent,matplotlib.image.AxesImage.get_extent,func,mpl.image.AxesImage,,0,get the image extent,get the image extent
plt.gci.colorbar_cid,colorbar_cid,matplotlib.pyplot.gci.colorbar_cid,func,plt.gci,,1,,
mpl.mlab.inside_poly@verts,verts,matplotlib.mlab.inside_poly@verts,arg,mpl.mlab.inside_poly,,0,"points is a sequence of x , y points . verts is a sequence of","points is a sequence of x , y points . verts is a sequence of x , y vertices of a polygon ."
plt.matplotlib.pyplot.figure.add_subplot.errorbar,errorbar,matplotlib.pyplot.matplotlib.pyplot.figure.add_subplot.errorbar,func,plt.matplotlib.pyplot.figure.add_subplot,,1,,
plt.Polygon.getAttribute.set_rotation,set_rotation,matplotlib.pyplot.Polygon.getAttribute.set_rotation,func,plt.Polygon.getAttribute,,1,,
ax.table@ylabel,ylabel,matplotlib.axes.Axes.table@ylabel,arg,ax.table,,0,set the label for the yaxis,set the label for the yaxis
plt.matplotlib.colors.LinearSegmentedColormap.from_list@0,0,matplotlib.pyplot.matplotlib.colors.LinearSegmentedColormap.from_list@0,arg,plt.matplotlib.colors.LinearSegmentedColormap.from_list,,4,,
plt.matplotlib.colors.LinearSegmentedColormap.from_list@1,1,matplotlib.pyplot.matplotlib.colors.LinearSegmentedColormap.from_list@1,arg,plt.matplotlib.colors.LinearSegmentedColormap.from_list,,4,,
plt.plot.set@c,c,matplotlib.pyplot.plot.set@c,arg,plt.plot.set,,1,,
mpl.collections.Collection.set_clip_on,set_clip_on,matplotlib.collections.Collection.set_clip_on,func,mpl.collections.Collection,,0,set whether artist uses clipping .,set whether artist uses clipping .
plt.barh@markeredgecolor,markeredgecolor,matplotlib.pyplot.barh@markeredgecolor,arg,plt.barh,,0,set the marker edge color,set the marker edge color
plt.pcolor.collections.deque.append,append,matplotlib.pyplot.pcolor.collections.deque.append,func,plt.pcolor.collections.deque,,3,,
plt.imshow.colorbar@0,0,matplotlib.pyplot.imshow.colorbar@0,arg,plt.imshow.colorbar,,1,,
mpl.cbook.warn_deprecated@pending,pending,matplotlib.cbook.warn_deprecated@pending,arg,mpl.cbook.warn_deprecated,,0,"if true , uses a pendingdeprecationwarning instead of a deprecationwarning .","if true , uses a pendingdeprecationwarning instead of a deprecationwarning ."
plt.register_cmap,register_cmap,matplotlib.pyplot.register_cmap,func,plt,,18,,
plt.histogram@0,0,matplotlib.pyplot.histogram@0,arg,plt.histogram,,2,,
plt.tricontour@Z,Z,matplotlib.pyplot.tricontour@Z,arg,plt.tricontour,,0,"where z is the array of values to contour , one per point in the","where z is the array of values to contour , one per point in the triangulation . the level values are chosen automatically ."
plt.Figure.add_subplot.grid@0,0,matplotlib.pyplot.Figure.add_subplot.grid@0,arg,plt.Figure.add_subplot.grid,,1,,
plt.barbs@agg_filter,agg_filter,matplotlib.pyplot.barbs@agg_filter,arg,plt.barbs,,0,set agg_filter fuction .,set agg_filter fuction .
plt.Figure.add_subplot.set_xlim,set_xlim,matplotlib.pyplot.Figure.add_subplot.set_xlim,func,plt.Figure.add_subplot,,1,,
plt.gca.set_xlim@0,0,matplotlib.pyplot.xlim,arg,plt.gca.set_xlim,,7,,
plt.gca.add_patch@5,5,matplotlib.axes.Axes.add_patch@5,arg,plt.gca.add_patch,,1,,
plt.gca.add_patch@2,2,matplotlib.axes.Axes.add_patch@2,arg,plt.gca.add_patch,,1,,
plt.twinx.yaxis.grid@color,color,matplotlib.pyplot.twinx.yaxis.grid@color,arg,plt.twinx.yaxis.grid,,1,,
plt.gca.add_patch@0,0,matplotlib.axes.Axes.add_patch@0,arg,plt.gca.add_patch,,1225,,
plt.gca.add_patch@1,1,matplotlib.axes.Axes.add_patch@1,arg,plt.gca.add_patch,,1,,
plt.contourf@ls,ls,matplotlib.pyplot.contourf@ls,arg,plt.contourf,,2,,
plt.semilogy@ylim,ylim,matplotlib.pyplot.semilogy@ylim,arg,plt.semilogy,,0,set the data limits for the yaxis,set the data limits for the yaxis
plt.get_current_fig_manager.canvas.switch_backends.tostring_rgb,tostring_rgb,matplotlib.pyplot.get_current_fig_manager.canvas.switch_backends.tostring_rgb,func,plt.get_current_fig_manager.canvas.switch_backends,,16,,
plt.Rectangle@ec,ec,matplotlib.pyplot.Rectangle@ec,arg,plt.Rectangle,,3,,
mpl.artist.get@position,position,matplotlib.artist.get@position,arg,mpl.artist.get,,0,set the axes position with,set the axes position with
plt.Figure@dpi,dpi,matplotlib.pyplot.Figure@dpi,arg,plt.Figure,,2,,
ax.eventplot@size_inches,size_inches,matplotlib.axes.Axes.eventplot@size_inches,arg,ax.eventplot,,0,set the figure size in inches ( 1in = = 2.54cm ),set the figure size in inches ( 1in = = 2.54cm )
ax.annotate@size,size,matplotlib.axes.Axes.annotate@size,arg,ax.annotate,,0,set the font size .,set the font size .
